# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
BLFS,,Health Care,2023-05-01,2023-06-01,0.652767,,21.8
BLU,,Unknown,2022-06-01,2022-10-03,0.748792,,14.48
BLU,,Unknown,2023-06-01,2023-07-03,0.748792,,14.48
BMEA,,Health Care,2023-05-01,2023-09-01,0.940497,,21.85
BMI,,Industrials,2023-06-01,2023-07-03,0.676088,,132.83
BMR,,Information Technology,2024-04-01,2024-05-01,2.366279,,5.79
BMR,,Information Technology,2025-02-03,2025-03-03,2.366279,,5.79
BORR,,Energy,2022-07-01,2022-09-01,2.134715,,6.05
BORR,,Energy,2023-03-01,2023-06-01,2.134715,,6.05
BORR,,Energy,2023-08-01,2023-11-01,2.134715,,6.05
BORR,,Energy,2026-05-01,,2.134715,,6.05
BOWL,,Unknown,2023-01-02,2023-03-01,0.647727,,13.05
BPMC,,Unknown,2024-02-01,2024-05-01,1.258751,,110.34
BPMC,,Unknown,2024-09-02,2024-10-01,1.258751,,110.34
BPT,,Unknown,2022-07-01,2022-08-01,0.72843,,12.22
BPT,,Unknown,2022-10-03,2022-11-01,0.72843,,12.22
BPT,,Unknown,2022-12-01,2023-03-01,0.72843,,12.22
BQ,,Consumer Discretionary,2025-11-03,2025-12-01,1.406813,,9.75
BRBR,,Consumer Staples,2023-12-01,2024-03-01,1.036131,,55.79
BRG,,Unknown,2022-08-01,2022-12-01,0.933094,,26.87
BROS,,Consumer Discretionary,2025-04-01,2025-06-02,1.273872,,65.01
BRY,,Unknown,2022-07-01,2022-08-01,0.664223,,11.35
BRZE,,Information Technology,2023-12-01,2024-02-01,1.135157,,53.08
BSM,,Energy,2022-06-01,2022-07-01,0.715363,,18.2
BSM,,Energy,2022-09-01,2022-10-03,0.715363,,18.2
BSM,,Energy,2023-01-02,2023-02-01,0.715363,,18.2
BTAI,,Health Care,2023-03-01,2023-04-03,0.714207,,498.08
BTBT,,Financials,2024-02-01,2024-03-01,2.486301,,5.09
BTCT,,Financials,2025-01-01,2025-02-03,2.394004,,15.85
BTDR,,Information Technology,2025-02-03,2025-03-03,1.482183,,22.29
BTM,,Financials,2025-08-01,2025-09-01,1.913793,,35.49
BTOG,,Financials,2024-08-01,2024-09-02,1.844768,,319.2
BTSG,,Health Care,2025-03-03,2025-04-01,1.166821,,23.38
BTSG,,Health Care,2025-07-01,2025-08-01,1.166821,,23.38
